city,lat,lng
Jakarta,-6.175,106.8275
Manila,14.5958,120.9772
Bangkok,13.7525,100.4942
Ho Chi Minh City,10.7756,106.7019
Kuala Lumpur,3.1478,101.6953
Hanoi,21.0,105.85
Surabaya,-7.2458,112.7378
Singapore,1.3,103.8
Medan,3.5894,98.6739
Quezon City,14.65,121.0475
Malang,-7.98,112.62
Bekasi,-6.2349,106.9923
Bekasi Kota,-6.2333,107.0
Tangerang,-6.1703,106.6403
Phnom Penh,11.5694,104.9211
Depok,-6.394,106.8225
Haiphong,20.8651,106.6838
Zamboanga City,6.9042,122.0761
Davao,7.07,125.6
Caloocan City,14.65,120.97
Semarang,-6.99,110.4225
Palembang,-2.9861,104.7556
Sangereng,-6.2889,106.7181
Makassar,-5.1619,119.4362
Canagatan,18.0,121.8
Bagam,1.13,104.0531
Sumedang,-6.84,107.9208
Cần Thơ,10.0333,105.7833
Chiang Mai,18.7953,98.9986
Batam Centre,1.13,104.0531
Cilacap,-7.7167,109.017
Bandar Lampung,-5.45,105.2667
Bogor,-6.5966,106.7972
Biên Hòa,10.95,106.8167
Thủ Đức,10.8266,106.7609
Quảng Hà,15.9333,108.2667
Pekanbaru,0.5092,101.4453
Cebu City,10.32,123.75
Vientiane,17.98,102.63
Seberang Jaya,5.4083,100.3695
Padang,-0.95,100.3531
Antipolo,14.5842,121.1763
Taguig City,14.52,121.05
Klang,3.0333,101.45
Ipoh,4.5972,101.075
Denpasar,-8.65,115.2167
Samarinda,-0.5,117.1378
Pasig City,14.5605,121.0765
Cagayan de Oro,8.48,124.65
Valenzuela,14.7,120.98
George Town,5.4144,100.3292
Dasmariñas,14.33,120.94
General Santos,6.12,125.17
City of Parañaque,14.5008,120.9915
Tasikmalaya,-7.3161,108.1975
Bacoor,14.4624,120.9645
Banjarmasin,-3.32,114.5925
Tondo,14.617,120.967
Huế,16.4667,107.5792
San Jose del Monte,14.8139,121.0453
Petaling Jaya,3.0972,101.6444
Makati City,14.5567,121.0214
Jambi,-1.59,103.61
Tân An,10.905,106.6994
Pontianak,-0.0206,109.3414
Serang,-6.12,106.1503
Kuantan,3.8167,103.3333
Las Piñas City,14.45,120.98
Bacolod,10.6765,122.9509
Balikpapan,-1.2768,116.8277
Cimahi,-6.8712,107.5548
Shah Alam,3.0722,101.5167
Iloilo,10.72,122.57
Surakarta,-7.5667,110.8167
Sungai Petani,5.65,100.5
Muntinlupa City,14.38,121.05
City of Calamba,14.22,121.17
Bắc Ninh,21.1833,106.05
Hải Dương,20.9397,106.3306
Lapu-Lapu City,10.3127,123.9488
Johor Bahru,1.4556,103.7611
Imus,14.4297,120.9367
Lembok,-8.565,116.351
Kota Bharu,6.1333,102.25
Vinh,18.6667,105.6667
Kupang,-10.1702,123.6077
Nakhon Ratchasima,14.975,102.1
Tân Uyên,11.0508,106.7636
Angeles City,15.1472,120.5847
Manado Light,1.4931,124.8413
Marikina City,14.65,121.1
Melaka,2.1944,102.2486
Manado,1.4931,124.8413
Kota Kinabalu,5.975,116.0725
General Trias,14.38,120.88
Rodriguez,14.72,121.12
Pasay City,14.55,121.0
Bandung,-6.912,107.6097
Mandaluyong City,14.58,121.03
Yogyakarta,-7.8014,110.3644
Seremban,2.7222,101.9417
Santa Rosa,14.32,121.12
Jayapura,-2.533,140.717
Khon Kaen,16.4333,102.8333
Mataram,-8.5833,116.1167
Biñan,14.33,121.08
Đà Lạt,11.9417,108.4383
Hat Yai,7.0167,100.4667
Sandakan,5.8333,118.1167
Thanh Hóa,19.8075,105.7764
Nha Trang,12.245,109.1917
Sampaloc,14.6031,121.0022
Cilegon,-6.0027,106.0112
Taytay,14.5692,121.1325
Tarlac City,15.4869,120.59
Palu,-0.895,119.8594
Malabon,14.66,120.96
Cainta,14.57,121.12
Lipa City,13.9411,121.1622
Butuan,8.948,125.543
Cibinong,-6.485,106.842
Baguio City,16.4119,120.5933
Mandaue City,10.33,123.93
Iligan,8.23,124.25
Bengkulu,-3.7956,102.2592
Cabuyao,14.275,121.125
San Fernando,15.03,120.68
Nam Định,20.42,106.1683
Batangas,13.83,121.0
Ambon,-3.7,128.1667
Chon Buri,13.3611,100.985
Naga City,13.6244,123.1864
Vũng Tàu,10.3833,107.1167
Buôn Ma Thuột,12.6667,108.05
Dumai,1.6667,101.45
Kendari,-3.9907,122.5086
Thái Nguyên,21.6,105.85
Phatthaya,12.9357,100.889
Cabanatuan City,15.4908,120.9678
Si Racha,13.174,100.93
San Pedro,14.3583,121.0583
Kuching,1.5575,110.3439
Cotabato,7.22,124.25
Cimanggis,-6.3645,106.8591
Kluang,2.0336,103.3194
Thủ Dầu Một,10.9667,106.65
Sukabumi,-6.9181,106.9315
An Nhơn,13.917,109.083
Cà Mau,9.1833,105.15
Muar,2.05,102.5667
Binangonan,14.4514,121.1919
Pasir Gudang,1.5028,103.9356
Tanza,14.3944,120.8531
Quy Nhơn,13.7667,109.2333
Karawang,-6.3125,107.295
Nghi Sơn,19.417,105.75
Puerto Princesa,9.75,118.75
Binjai,3.5986,98.4803
Jember,-8.1727,113.6873
Pekalongan,-6.8833,109.6667
Cirebon,-6.7071,108.5574
Tagum,7.4478,125.8078
Sorong,-0.8667,131.25
Silang,14.2306,120.975
Pondokaren,-6.2811,106.7019
Mabalacat,15.22,120.58
Tegal,-6.8675,109.1375
Santa Maria,14.82,120.96
San Pablo,14.07,121.325
Lucena,13.93,121.62
Mamuju,-2.6833,118.9
Long Xuyên,10.3736,105.4458
Pematangsiantar,2.96,99.06
Việt Trì,21.3,105.4333
Pasarkemis,-6.1703,106.53
San Mateo,14.6969,121.1219
Majene,-3.5403,118.9707
Mỹ Tho,10.35,106.35
Thái Bình,20.4461,106.3422
Xiangkhoang,19.4167,103.5
Talisay,10.25,123.83
Malolos,14.8433,120.8114
Olongapo,14.83,120.28
Quảng Ngãi,15.1167,108.8
Ấp Đa Lợi,11.9333,108.4667
Nonthaburi,13.8667,100.5167
Kuala Terengganu,5.3292,103.1361
Marilao,14.7581,120.9481
Kediri,-7.8111,112.0047
Tacloban,11.24,125.0
Rạch Giá,10.0167,105.0833
Palangkaraya,-2.21,113.92
Sibu,2.2878,111.8308
Navotas,14.6667,120.9417
Taiping,4.85,100.7333
Tuy Hòa,13.0819,109.295
Kajang,2.9931,101.7889
Banda Aceh,5.55,95.3175
Miri,4.3925,113.9861
Teluk Intan,4.0333,101.0167
Purwokerto,-7.4278,109.2417
Phú Yên,21.4156,105.8739
Ormoc,11.0106,124.6075
Sơn Tây,21.1333,105.5
Singkawang,0.9,108.9833
Kulai,1.6667,103.6
Meycauayan,14.73,120.95
Padangsidempuan,1.3786,99.2722
Cikupa,-6.4947,106.6511
Probolinggo,-7.75,113.2167
Beji,-6.3704,106.8176
Dili,-8.5536,125.5783
Sóc Trăng,9.6028,105.9736
Chí Linh,21.133,106.383
Pangkalpinang,-2.1333,106.1167
Bitung,1.4472,125.1978
Santo Tomas,14.08,121.18
Alor Setar,6.1183,100.3694
Batu,-7.872,112.525
Banjarbaru,-3.4425,114.8325
Valencia,7.9042,125.0928
Tân An,10.5333,106.4167
Sa Đéc,10.3,105.7667
Cao Lãnh,10.4672,105.6303
Trece Martires City,14.28,120.87
Pagadian,7.8272,123.4364
Bukit Mertajam,5.3655,100.4607
Legazpi City,13.13,123.73
