id,name,subregion,region
1,Afghanistan,Southern Asia,Asia
2,Armenia,Western Asia,Asia
3,Azerbaijan,Western Asia,Asia
4,Bahrain,Western Asia,Asia
5,Bangladesh,Southern Asia,Asia
6,Bhutan,Southern Asia,Asia
7,Brunei,South-Eastern Asia,Asia
8,Cambodia,South-Eastern Asia,Asia
9,China,Eastern Asia,Asia
10,Georgia,Western Asia,Asia
11,Hong Kong S.A.R.,Eastern Asia,Asia
12,India,Southern Asia,Asia
13,Indonesia,South-Eastern Asia,Asia
14,Iran,Southern Asia,Asia
15,Iraq,Western Asia,Asia
16,Israel,Western Asia,Asia
17,Japan,Eastern Asia,Asia
18,Jordan,Western Asia,Asia
19,Kazakhstan,Central Asia,Asia
20,Kuwait,Western Asia,Asia
21,Kyrgyzstan,Central Asia,Asia
22,Laos,South-Eastern Asia,Asia
23,Lebanon,Western Asia,Asia
24,Macau S.A.R.,Eastern Asia,Asia
25,Malaysia,South-Eastern Asia,Asia
26,Maldives,Southern Asia,Asia
27,Mongolia,Eastern Asia,Asia
28,Myanmar,South-Eastern Asia,Asia
29,Nepal,Southern Asia,Asia
30,North Korea,Eastern Asia,Asia
31,Oman,Western Asia,Asia
32,Pakistan,Southern Asia,Asia
33,Palestinian Territory Occupied,Western Asia,Asia
34,Philippines,South-Eastern Asia,Asia
35,Qatar,Western Asia,Asia
36,Saudi Arabia,Western Asia,Asia
37,Singapore,South-Eastern Asia,Asia
38,South Korea,Eastern Asia,Asia
39,Sri Lanka,Southern Asia,Asia
40,Syria,Western Asia,Asia
41,Taiwan,Eastern Asia,Asia
42,Tajikistan,Central Asia,Asia
43,Thailand,South-Eastern Asia,Asia
44,Timor-Leste,South-Eastern Asia,Asia
45,Turkey,Western Asia,Asia
46,Turkmenistan,Central Asia,Asia
47,United Arab Emirates,Western Asia,Asia
48,Uzbekistan,Central Asia,Asia
49,Vietnam,South-Eastern Asia,Asia
50,Yemen,Western Asia,Asia
